status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
no checking account,48,Critical,used car,8858,unknown/ no savings account,7,2,male:single,none,1,no property,35,none,free,2,skilled employee/official,1,yes,yes
no checking account,12,Critical,repairs,996,unknown/ no savings account,7,4,female:divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,none,yes
no checking account,6,Paid Credits,radio/television,1750,500 <= ... < 1000 DM,7+,2,male:single,none,4,life insurance,45,bank,own,1,unskilled-resident,2,none,yes
...<0 DM,48,Existing Credits,radio/television,6999,... < 100 DM,7,1,male:married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Critical,new car,1995,100 <= ... < 500 DM,1,4,male:single,none,1,car or other,27,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,education,1199,... < 100 DM,7,4,female:divorced/separated/married,none,4,life insurance,67,none,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1331,... < 100 DM,1,2,male:single,none,1,car or other,22,store,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,No Credits,new car,2278,100 <= ... < 500 DM,1,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee/official,1,none,yes
no checking account,21,No Credits,new car,5003,unknown/ no savings account,4,1,female:divorced/separated/married,none,4,life insurance,29,bank,own,2,skilled employee/official,1,yes,yes
...<0 DM,24,Paid Credits,furniture/equipment,3552,... < 100 DM,7,3,male:single,none,4,car or other,27,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Critical,furniture/equipment,1928,... < 100 DM,1,2,male:single,none,2,real estate,31,none,own,2,unskilled-resident,1,none,yes
...<0 DM,24,Existing Credits,used car,2964,unknown/ no savings account,7+,4,male:single,none,4,no property,49,bank,free,1,skilled employee/official,2,yes,yes
...<0 DM,24,Paid Credits,radio/television,1546,... < 100 DM,7,4,male:single,guarantor,4,car or other,24,bank,rent,1,unskilled-resident,1,none,yes
... >= 200 DM ,6,Delay in Past,radio/television,683,... < 100 DM,1,2,female:divorced/separated/married,none,1,life insurance,29,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,new car,12389,unknown/ no savings account,4,1,male:single,none,4,no property,37,none,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Delay in Past,business,4712,unknown/ no savings account,4,4,male:single,none,2,life insurance,37,bank,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,24,Delay in Past,radio/television,1553,100 <= ... < 500 DM,7,3,female:divorced/separated/married,none,2,life insurance,23,none,rent,2,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,new car,1372,... < 100 DM,7,2,male:divorced/separated,none,3,car or other,36,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Critical,radio/television,2578,.. >= 1000 DM,7+,2,male:single,none,2,car or other,34,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Existing Credits,radio/television,3979,unknown/ no savings account,7,4,male:single,none,1,car or other,41,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,48,Existing Credits,radio/television,6758,... < 100 DM,4,3,female:divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Existing Credits,furniture/equipment,3234,... < 100 DM,1,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,yes,yes
no checking account,30,Critical,radio/television,5954,... < 100 DM,7,3,male:single,co-applicant,2,car or other,38,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,used car,5433,unknown/ no savings account,unemployed,2,female:divorced/separated/married,none,4,life insurance,26,none,rent,1,highly skilled,1,yes,yes
...<0 DM,15,Existing Credits,business,806,... < 100 DM,4,4,female:divorced/separated/married,none,4,life insurance,22,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,9,Existing Credits,radio/television,1082,... < 100 DM,7+,4,male:single,none,4,car or other,27,none,own,2,unskilled-resident,1,none,yes
no checking account,15,Critical,furniture/equipment,2788,... < 100 DM,7,2,female:divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,2930,... < 100 DM,7,2,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Critical,education,1927,unknown/ no savings account,4,3,female:divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,36,Critical,new car,2820,... < 100 DM,1,4,male:divorced/separated,none,4,car or other,27,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,retraining,937,... < 100 DM,1,4,male:married/widowed,none,3,car or other,27,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,18,Critical,new car,1056,... < 100 DM,7+,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Critical,new car,3124,... < 100 DM,1,1,male:single,none,3,real estate,49,bank,own,2,unskilled-resident,2,none,yes
no checking account,9,Existing Credits,furniture/equipment,1388,... < 100 DM,4,4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,repairs,2384,... < 100 DM,1,4,male:single,none,1,no property,33,none,rent,1,unskilled-resident,1,none,yes
no checking account,12,Existing Credits,new car,2133,unknown/ no savings account,7+,4,female:divorced/separated/married,none,4,no property,52,none,free,1,highly skilled,1,yes,yes
...<0 DM,18,Existing Credits,furniture/equipment,2039,... < 100 DM,4,1,female:divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,none,yes
...<0 DM,9,Critical,new car,2799,... < 100 DM,4,2,male:single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,1289,... < 100 DM,4,4,male:single,guarantor,1,life insurance,21,none,own,1,unskilled-resident,1,none,yes
...<0 DM,18,Existing Credits,domestic appliances,1217,... < 100 DM,4,4,male:married/widowed,none,3,real estate,47,none,own,1,unskilled-resident,1,yes,yes
...<0 DM,12,Critical,furniture/equipment,2246,... < 100 DM,7+,3,male:single,none,3,life insurance,60,none,own,2,skilled employee/official,1,none,yes
...<0 DM,12,Critical,radio/television,385,... < 100 DM,7,4,female:divorced/separated/married,none,3,real estate,58,none,own,4,unskilled-resident,1,yes,yes
0 <= ...<200 DM,24,Delay in Past,new car,1965,unknown/ no savings account,4,4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee/official,1,yes,yes
no checking account,21,Existing Credits,business,1572,.. >= 1000 DM,7+,4,female:divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,new car,2718,... < 100 DM,4,3,female:divorced/separated/married,none,4,life insurance,20,none,rent,1,unskilled-resident,1,yes,yes
...<0 DM,24,Paid Credits,others,1358,unknown/ no savings account,7+,4,male:single,none,3,car or other,40,store,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,6,Paid Credits,new car,931,100 <= ... < 500 DM,1,1,female:divorced/separated/married,none,1,life insurance,32,store,own,1,unskilled-resident,1,none,yes
...<0 DM,24,Existing Credits,new car,1442,... < 100 DM,7,4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,No Credits,business,4241,... < 100 DM,4,1,male:single,none,4,real estate,36,none,own,3,unskilled-resident,1,yes,yes
no checking account,18,Critical,new car,2775,... < 100 DM,7,2,male:single,none,2,life insurance,31,bank,own,2,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,business,3863,... < 100 DM,4,1,male:single,none,2,no property,32,none,free,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,7,Existing Credits,radio/television,2329,... < 100 DM,1,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,furniture/equipment,918,... < 100 DM,4,4,female:divorced/separated/married,none,1,life insurance,30,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Paid Credits,education,1837,... < 100 DM,7,4,female:divorced/separated/married,none,4,no property,34,bank,free,1,unskilled-resident,1,none,yes
no checking account,36,Existing Credits,furniture/equipment,3349,... < 100 DM,4,4,female:divorced/separated/married,none,2,car or other,28,none,own,1,highly skilled,1,yes,yes
... >= 200 DM ,10,Existing Credits,furniture/equipment,1275,... < 100 DM,1,4,female:divorced/separated/married,none,2,life insurance,23,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Paid Credits,furniture/equipment,2828,500 <= ... < 1000 DM,4,4,male:single,none,4,real estate,22,store,own,1,skilled employee/official,1,yes,yes
no checking account,24,Critical,business,4526,... < 100 DM,4,3,male:single,none,2,real estate,74,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,36,Existing Credits,radio/television,2671,100 <= ... < 500 DM,4,4,female:divorced/separated/married,co-applicant,4,no property,50,none,free,1,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,radio/television,2051,... < 100 DM,1,4,male:single,none,1,real estate,33,none,own,1,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,used car,1300,unknown/ no savings account,7+,4,male:single,none,4,no property,45,bank,free,1,skilled employee/official,2,none,yes
...<0 DM,12,Existing Credits,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,female:divorced/separated/married,none,3,life insurance,22,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,10,Existing Credits,new car,1240,100 <= ... < 500 DM,7+,1,female:divorced/separated/married,none,4,no property,48,none,free,1,unskilled-resident,2,none,yes
...<0 DM,21,Existing Credits,radio/television,3357,.. >= 1000 DM,1,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Paid Credits,used car,3632,... < 100 DM,4,1,female:divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee/official,1,none,no
no checking account,18,Delay in Past,furniture/equipment,1808,... < 100 DM,7,4,female:divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,No Credits,business,12204,unknown/ no savings account,4,2,male:single,none,2,car or other,48,bank,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,60,Delay in Past,radio/television,9157,unknown/ no savings account,4,2,male:single,none,2,no property,27,none,free,1,highly skilled,1,none,yes
...<0 DM,6,Critical,new car,3676,... < 100 DM,4,1,male:single,none,3,real estate,37,none,rent,3,skilled employee/official,2,none,yes
0 <= ...<200 DM,30,Existing Credits,furniture/equipment,3441,100 <= ... < 500 DM,4,2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,new car,640,... < 100 DM,4,4,male:divorced/separated,none,2,real estate,49,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,21,Critical,business,3652,... < 100 DM,7,2,male:single,none,3,life insurance,27,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Critical,new car,1530,... < 100 DM,4,3,male:single,none,2,life insurance,32,bank,own,2,skilled employee/official,1,none,yes
no checking account,48,Existing Credits,business,3914,unknown/ no savings account,4,4,male:divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,1858,... < 100 DM,1,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,radio/television,2600,... < 100 DM,4,4,male:single,none,4,no property,65,none,free,2,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,radio/television,1979,unknown/ no savings account,7+,4,male:single,none,2,car or other,35,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,6,Existing Credits,furniture/equipment,2116,... < 100 DM,4,2,male:single,none,2,real estate,41,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,9,Paid Credits,new car,1437,100 <= ... < 500 DM,7,2,male:single,none,3,no property,29,none,own,1,skilled employee/official,1,none,yes
no checking account,42,Critical,furniture/equipment,4042,500 <= ... < 1000 DM,4,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes
no checking account,9,Existing Credits,education,3832,unknown/ no savings account,7+,1,male:single,none,4,real estate,64,none,own,1,unskilled-resident,1,none,yes
...<0 DM,24,Existing Credits,radio/television,3660,... < 100 DM,4,2,female:divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee/official,1,none,yes
...<0 DM,18,Paid Credits,furniture/equipment,1553,... < 100 DM,4,4,male:single,none,3,car or other,44,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,15,Existing Credits,radio/television,1444,unknown/ no savings account,1,4,male:single,none,1,life insurance,23,none,own,1,skilled employee/official,1,none,yes
no checking account,9,Existing Credits,furniture/equipment,1980,... < 100 DM,1,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Existing Credits,new car,1355,... < 100 DM,1,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,unskilled-resident,1,yes,yes
no checking account,12,Existing Credits,education,1393,... < 100 DM,7+,4,male:single,none,4,life insurance,47,bank,own,3,skilled employee/official,2,yes,yes
no checking account,24,Existing Credits,radio/television,1376,500 <= ... < 1000 DM,7,4,female:divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee/official,1,none,yes
no checking account,60,Delay in Past,radio/television,15653,... < 100 DM,7,2,male:single,none,4,car or other,21,none,own,2,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,radio/television,1493,... < 100 DM,1,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,none,yes
...<0 DM,42,Delay in Past,radio/television,4370,... < 100 DM,7,3,male:single,none,2,life insurance,26,bank,own,2,skilled employee/official,2,yes,yes
...<0 DM,18,Existing Credits,education,750,... < 100 DM,unemployed,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled-non resident,1,none,yes
0 <= ...<200 DM,15,Existing Credits,repairs,1308,... < 100 DM,7+,4,male:single,none,4,car or other,38,none,own,2,unskilled-resident,1,none,yes
no checking account,15,Existing Credits,education,4623,100 <= ... < 500 DM,4,3,male:single,none,2,life insurance,40,none,own,1,highly skilled,1,yes,yes
no checking account,24,Critical,radio/television,1851,... < 100 DM,7,4,male:married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,18,Critical,radio/television,1880,... < 100 DM,7,4,male:married/widowed,none,1,life insurance,32,none,own,2,highly skilled,1,yes,yes
no checking account,36,Delay in Past,business,7980,unknown/ no savings account,1,4,male:single,none,4,car or other,27,none,rent,2,skilled employee/official,1,yes,yes
...<0 DM,30,No Credits,furniture/equipment,4583,... < 100 DM,4,2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,new car,1386,500 <= ... < 1000 DM,4,2,female:divorced/separated/married,none,2,life insurance,26,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,24,Existing Credits,new car,947,... < 100 DM,7,4,male:single,none,3,no property,38,bank,free,1,skilled employee/official,2,none,yes
...<0 DM,12,Existing Credits,education,684,... < 100 DM,4,4,male:single,none,4,car or other,40,none,rent,1,unskilled-resident,2,none,yes
...<0 DM,48,Existing Credits,education,7476,... < 100 DM,7,4,male:single,none,1,no property,50,none,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,furniture/equipment,1922,... < 100 DM,4,4,male:single,none,2,life insurance,37,none,own,1,unskilled-resident,1,none,yes
...<0 DM,24,Existing Credits,new car,2303,... < 100 DM,7+,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Delay in Past,new car,8086,100 <= ... < 500 DM,7+,2,male:single,none,4,car or other,42,none,own,4,highly skilled,1,yes,yes
no checking account,24,Critical,used car,2346,... < 100 DM,7,4,male:single,none,3,car or other,35,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,14,Existing Credits,new car,3973,... < 100 DM,unemployed,1,male:single,none,4,no property,22,none,free,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,888,... < 100 DM,7+,4,male:single,none,4,car or other,41,bank,own,1,unskilled-resident,2,none,yes
no checking account,48,Existing Credits,radio/television,10222,unknown/ no savings account,7,4,male:single,none,3,car or other,37,store,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,30,No Credits,business,4221,... < 100 DM,4,2,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Critical,furniture/equipment,6361,... < 100 DM,7+,2,male:single,none,1,no property,41,none,own,1,skilled employee/official,1,yes,yes
... >= 200 DM ,12,Existing Credits,radio/television,1297,... < 100 DM,4,3,male:married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,new car,900,unknown/ no savings account,4,4,male:married/widowed,none,2,car or other,23,none,own,1,skilled employee/official,1,none,yes
no checking account,21,Existing Credits,furniture/equipment,2241,... < 100 DM,7+,4,male:single,none,2,real estate,50,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,6,Delay in Past,furniture/equipment,1050,... < 100 DM,unemployed,4,male:single,none,1,life insurance,35,store,own,2,highly skilled,1,yes,yes
... >= 200 DM ,6,Critical,education,1047,... < 100 DM,4,2,female:divorced/separated/married,none,4,life insurance,50,none,own,1,unskilled-resident,1,none,yes
no checking account,24,Critical,others,6314,... < 100 DM,unemployed,4,male:single,co-applicant,2,no property,27,bank,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,30,Paid Credits,furniture/equipment,3496,.. >= 1000 DM,4,4,male:single,none,2,car or other,34,store,own,1,skilled employee/official,2,yes,yes
no checking account,48,Paid Credits,business,3609,... < 100 DM,4,1,female:divorced/separated/married,none,1,real estate,27,store,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Critical,new car,4843,... < 100 DM,7+,3,male:single,co-applicant,4,life insurance,43,none,rent,2,skilled employee/official,1,yes,yes
... >= 200 DM ,30,Critical,radio/television,3017,... < 100 DM,7+,4,male:single,none,4,life insurance,47,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Critical,business,4139,100 <= ... < 500 DM,4,3,male:single,none,3,life insurance,27,none,own,2,unskilled-resident,1,yes,yes
no checking account,36,Existing Credits,business,5742,100 <= ... < 500 DM,7,2,male:single,none,2,car or other,31,none,own,2,skilled employee/official,1,yes,yes
no checking account,60,Existing Credits,new car,10366,... < 100 DM,7+,2,male:single,none,4,life insurance,42,none,own,1,highly skilled,1,yes,yes
no checking account,6,Critical,new car,2080,500 <= ... < 1000 DM,4,1,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes
no checking account,21,Delay in Past,business,2580,500 <= ... < 1000 DM,1,4,male:single,none,2,real estate,41,bank,own,1,unskilled-resident,2,none,yes
no checking account,30,Critical,radio/television,4530,... < 100 DM,7,4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,highly skilled,1,yes,yes
no checking account,24,Critical,furniture/equipment,5150,... < 100 DM,7+,4,male:single,none,4,car or other,33,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,72,Existing Credits,radio/television,5595,100 <= ... < 500 DM,4,2,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,radio/television,2384,... < 100 DM,7+,4,male:single,none,4,real estate,64,bank,rent,1,unskilled-resident,1,none,yes
no checking account,18,Existing Credits,radio/television,1453,... < 100 DM,1,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,education,1538,... < 100 DM,1,1,female:divorced/separated/married,none,2,no property,56,none,own,1,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,radio/television,2279,unknown/ no savings account,4,4,male:single,none,4,no property,37,none,free,1,skilled employee/official,1,yes,yes
no checking account,15,Delay in Past,radio/television,1478,... < 100 DM,4,4,male:married/widowed,none,3,real estate,33,bank,own,2,skilled employee/official,1,none,yes
no checking account,24,Critical,radio/television,5103,... < 100 DM,1,3,male:married/widowed,none,3,no property,47,none,free,3,skilled employee/official,1,yes,yes
0 <= ...<200 DM,36,Delay in Past,business,9857,100 <= ... < 500 DM,7,1,male:single,none,3,life insurance,31,none,own,2,unskilled-resident,2,yes,yes
no checking account,60,Existing Credits,new car,6527,unknown/ no savings account,4,4,male:single,none,4,no property,34,none,free,1,skilled employee/official,2,yes,yes
... >= 200 DM ,10,Critical,radio/television,1347,unknown/ no savings account,7,4,male:single,none,2,life insurance,27,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,36,Delay in Past,new car,2862,100 <= ... < 500 DM,7+,4,male:single,none,3,no property,30,none,free,1,skilled employee/official,1,none,yes
no checking account,9,Existing Credits,radio/television,2753,100 <= ... < 500 DM,7+,3,male:single,co-applicant,4,car or other,35,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,new car,3651,.. >= 1000 DM,4,1,male:single,none,3,life insurance,31,none,own,1,skilled employee/official,2,none,yes
...<0 DM,15,Critical,furniture/equipment,975,... < 100 DM,4,2,male:divorced/separated,none,3,life insurance,25,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,15,Existing Credits,repairs,2631,100 <= ... < 500 DM,4,3,female:divorced/separated/married,none,2,real estate,25,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,2896,100 <= ... < 500 DM,1,2,male:single,none,1,car or other,29,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Critical,new car,4716,unknown/ no savings account,1,1,male:single,none,3,real estate,44,none,own,2,unskilled-resident,2,none,yes
no checking account,24,Existing Credits,radio/television,2284,... < 100 DM,7,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,yes,yes
no checking account,6,Existing Credits,used car,1236,500 <= ... < 1000 DM,4,2,male:single,none,4,life insurance,50,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1103,... < 100 DM,7,4,male:single,guarantor,3,real estate,29,none,own,2,skilled employee/official,1,none,no
no checking account,12,Critical,new car,926,... < 100 DM,unemployed,1,female:divorced/separated/married,none,2,life insurance,38,none,own,1,unemployed/unskilled-non resident,1,none,yes
no checking account,18,Critical,radio/television,1800,... < 100 DM,4,4,male:single,none,2,car or other,24,none,own,2,skilled employee/official,1,none,yes
... >= 200 DM ,15,Existing Credits,education,1905,... < 100 DM,7+,4,male:single,none,4,car or other,40,none,rent,1,highly skilled,1,yes,yes
no checking account,12,Existing Credits,furniture/equipment,1123,500 <= ... < 1000 DM,4,4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled-resident,1,none,yes
...<0 DM,48,Critical,used car,6331,... < 100 DM,7+,4,male:single,none,4,no property,46,none,free,2,skilled employee/official,1,yes,yes
... >= 200 DM ,24,Existing Credits,radio/television,1377,100 <= ... < 500 DM,7+,4,female:divorced/separated/married,none,2,no property,47,none,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,30,Delay in Past,business,2503,100 <= ... < 500 DM,7+,4,male:single,none,2,life insurance,41,store,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,27,Existing Credits,business,2528,... < 100 DM,1,4,female:divorced/separated/married,none,1,life insurance,32,none,own,1,skilled employee/official,2,yes,yes
no checking account,15,Existing Credits,new car,5324,500 <= ... < 1000 DM,7+,1,female:divorced/separated/married,none,4,no property,35,none,free,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Existing Credits,new car,6560,100 <= ... < 500 DM,7,3,male:single,none,2,life insurance,24,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,No Credits,furniture/equipment,2969,... < 100 DM,1,4,female:divorced/separated/married,none,3,life insurance,25,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,radio/television,1206,... < 100 DM,7+,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,radio/television,2118,... < 100 DM,4,2,male:single,none,2,real estate,37,none,own,1,unskilled-resident,2,none,yes
no checking account,18,Critical,radio/television,629,500 <= ... < 1000 DM,7+,4,male:single,none,3,life insurance,32,bank,own,2,highly skilled,1,yes,yes
...<0 DM,6,Paid Credits,education,1198,... < 100 DM,7+,4,female:divorced/separated/married,none,4,no property,35,none,free,1,skilled employee/official,1,none,yes
no checking account,21,Existing Credits,used car,2476,unknown/ no savings account,7+,4,male:single,none,4,real estate,46,none,own,1,highly skilled,1,yes,yes
...<0 DM,9,Critical,radio/television,1138,... < 100 DM,4,4,male:single,none,4,real estate,25,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,60,Existing Credits,new car,14027,... < 100 DM,7,4,male:single,none,2,no property,27,none,own,1,highly skilled,1,yes,yes
no checking account,30,Critical,used car,7596,unknown/ no savings account,7+,1,male:single,none,4,car or other,63,none,own,2,skilled employee/official,1,none,yes
no checking account,30,Critical,radio/television,3077,unknown/ no savings account,7+,3,male:single,none,2,car or other,40,none,own,2,skilled employee/official,2,yes,yes
no checking account,18,Existing Credits,radio/television,1505,... < 100 DM,4,4,male:single,none,2,no property,32,none,free,1,highly skilled,1,yes,yes
... >= 200 DM ,24,Critical,radio/television,3148,unknown/ no savings account,4,3,male:single,none,2,car or other,31,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,20,No Credits,used car,6148,100 <= ... < 500 DM,7+,3,male:married/widowed,none,4,car or other,31,bank,own,2,skilled employee/official,1,yes,yes
... >= 200 DM ,9,No Credits,radio/television,1337,... < 100 DM,1,4,male:single,none,2,car or other,34,none,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,6,Paid Credits,education,433,.. >= 1000 DM,1,4,female:divorced/separated/married,none,2,life insurance,24,bank,rent,1,skilled employee/official,2,none,yes
...<0 DM,12,Existing Credits,new car,1228,... < 100 DM,4,4,female:divorced/separated/married,none,2,real estate,24,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,9,Existing Credits,radio/television,790,500 <= ... < 1000 DM,4,4,female:divorced/separated/married,none,3,real estate,66,none,own,1,unskilled-resident,1,none,yes
no checking account,27,Existing Credits,new car,2570,... < 100 DM,4,3,female:divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee/official,1,none,yes
no checking account,6,Critical,new car,250,.. >= 1000 DM,4,2,female:divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled-resident,1,none,yes
no checking account,15,Critical,radio/television,1316,500 <= ... < 1000 DM,4,2,male:married/widowed,none,2,life insurance,47,none,own,2,unskilled-resident,1,none,yes
...<0 DM,18,Existing Credits,radio/television,1882,... < 100 DM,4,4,female:divorced/separated/married,none,4,car or other,25,bank,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Paid Credits,business,6416,... < 100 DM,7+,4,female:divorced/separated/married,none,3,no property,59,none,rent,1,skilled employee/official,1,none,yes
... >= 200 DM ,24,Critical,business,1275,.. >= 1000 DM,4,2,male:divorced/separated,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Delay in Past,radio/television,6403,... < 100 DM,1,1,male:single,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes
